Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
st. kitts and nevis,1987,,,,
"korea, rep.",1987,1579.665746,,,
kuwait,1987,8523.434055,,,
latin america & caribbean (excluding high income),1987,1058.895184,,,
lao pdr,1987,,,,
lebanon,1987,998.5209673,,,
liberia,1987,,,,
libya,1987,2678.707699,,,
st. lucia,1987,,,,
latin america & caribbean,1987,1059.320706,,,
least developed countries: un classification,1987,299.0913311,,,
low income,1987,,,,
liechtenstein,1987,,,,
sri lanka,1987,322.0795758,,,
lower middle income,1987,366.2585854,,,
low & middle income,1987,630.9927601,,,
lesotho,1987,,,,
late-demographic dividend,1987,856.9091748,,,
lithuania,1987,,,,
luxembourg,1987,7942.948078,,,
latvia,1987,,,,
"macao sar, china",1987,,,,
st. martin (french part),1987,,,,
morocco,1987,278.7798758,,,
monaco,1987,,,,
moldova,1987,,,,
madagascar,1987,,,,
maldives,1987,,,0,
middle east & north africa,1987,1166.247508,,,
mexico,1987,1403.209966,,,
marshall islands,1987,,,,
middle income,1987,635.2613109,,,
north macedonia,1987,,,,
mali,1987,,,,
malta,1987,1750.653875,,,
myanmar,1987,273.4085983,,,
middle east & north africa (excluding high income),1987,764.425769,,,
montenegro,1987,,,,
mongolia,1987,1746.241659,,,
northern mariana islands,1987,,,,
mozambique,1987,487.7675402,,,
mauritania,1987,,,,
mauritius,1987,512.0115975,,,
malawi,1987,,,,
malaysia,1987,1068.706694,,,
north america,1987,7626.997783,,,
namibia,1987,,,,
new caledonia,1987,,,,
niger,1987,,,,
nigeria,1987,677.2681075,,,
nicaragua,1987,498.948377,,,
netherlands,1987,4387.670689,,,
norway,1987,5048.499309,,,
nepal,1987,304.424504,,,
nauru,1987,,,,
new zealand,1987,3452.96268,,,
oecd members,1987,4150.17843,,,
oman,1987,1413.002211,,,
other small states,1987,,,,
pakistan,1987,376.4050955,,,
panama,1987,730.8567963,,,
peru,1987,534.7107282,,,
philippines,1987,433.7298326,,,
palau,1987,,,,
papua new guinea,1987,,,,
poland,1987,3535.481972,,,
pre-demographic dividend,1987,533.7141235,,,
puerto rico,1987,,,,
"korea, dem. people’s rep.",1987,1755.237421,,,
portugal,1987,1241.195665,,,
paraguay,1987,697.9708788,,,
west bank and gaza,1987,,,,
pacific island small states,1987,,,,
post-demographic dividend,1987,4619.225053,,,
french polynesia,1987,,,,
qatar,1987,14654.29423,,,
romania,1987,3027.565216,,,
russian federation,1987,,,,
rwanda,1987,,,,
south asia,1987,308.8930816,,,
saudi arabia,1987,3801.983169,,,
sudan,1987,397.4209788,,,
senegal,1987,253.1323837,,,
singapore,1987,2757.880689,,,
solomon islands,1987,,,,
sierra leone,1987,,,,
el salvador,1987,501.9266756,,,
san marino,1987,,,,
somalia,1987,,,,
serbia,1987,,,,
sub-saharan africa (excluding high income),1987,724.0851376,,,
south sudan,1987,,,,
sub-saharan africa,1987,724.0851376,,,
small states,1987,,,,
sao tome and principe,1987,,,,
suriname,1987,,,,
slovak republic,1987,4074.779047,,,
slovenia,1987,,,,
sweden,1987,5763.070441,,,
eswatini,1987,,,,
sint maarten (dutch part),1987,,,,
seychelles,1987,,,,
syrian arab republic,1987,787.4000119,,0,
turks and caicos islands,1987,,,,
chad,1987,,,,
east asia & pacific (ida & ibrd countries),1987,625.4097141,,,
europe & central asia (ida & ibrd countries),1987,,,,
togo,1987,328.1303692,,0,
thailand,1987,532.0941185,,0,
tajikistan,1987,,,,
turkmenistan,1987,,,,
latin america & the caribbean (ida & ibrd countries),1987,1043.675611,,,
timor-leste,1987,,,,
middle east & north africa (ida & ibrd countries),1987,764.425769,,,
tonga,1987,,,,
south asia (ida & ibrd),1987,308.8930816,,,
sub-saharan africa (ida & ibrd countries),1987,724.0851376,,,
trinidad and tobago,1987,4191.106877,,,
tunisia,1987,541.5187587,,,
turkey,1987,919.1961969,,,
tuvalu,1987,,,,
tanzania,1987,398.1428049,,,
uganda,1987,,,,
ukraine,1987,,,,
upper middle income,1987,887.2705092,,,
uruguay,1987,718.5383828,,,
united states,1987,7622.173017,,,
uzbekistan,1987,,,,
st. vincent and the grenadines,1987,,,,
"venezuela, rb",1987,2087.021965,,,
british virgin islands,1987,,,,
virgin islands (u.s.),1987,,,,
vietnam,1987,277.8733914,,,
vanuatu,1987,,,,
world,1987,1443.659038,,,
samoa,1987,,,,
kosovo,1987,,,,
"yemen, rep.",1987,216.142192,,,
south africa,1987,2718.501141,,,
zambia,1987,709.2983339,,,
zimbabwe,1987,897.4692782,,,
aruba,1988,,,,
afghanistan,1988,,,,
angola,1988,486.0376489,,,
albania,1988,927.7445187,,,
andorra,1988,,,,
arab world,1988,1151.63341,,,
united arab emirates,1988,10905.98046,,,
argentina,1988,1510.833246,,,
armenia,1988,,,,
american samoa,1988,,,,
antigua and barbuda,1988,,,,
australia,1988,4702.841606,,,
austria,1988,3204.562182,,,
azerbaijan,1988,,,,
burundi,1988,,,0,
belgium,1988,4770.948398,,,
benin,1988,346.6230045,,,
burkina faso,1988,,,,
bangladesh,1988,117.3988645,,,
bulgaria,1988,3488.292754,,,
bahrain,1988,10493.58768,,,
"bahamas, the",1988,,,,
bosnia and herzegovina,1988,,,,
belarus,1988,,,,
belize,1988,,,,
bermuda,1988,,,,
bolivia,1988,350.4785183,,,
brazil,1988,992.5937235,,,
barbados,1988,,,,
brunei darussalam,1988,5461.899151,,,
bhutan,1988,,,,
botswana,1988,919.4236655,,0,
central african republic,1988,,,,
canada,1988,7885.2444,,,
central europe and the baltics,1988,3497.115076,,,
switzerland,1988,3436.875833,,,
channel islands,1988,,,,
chile,1988,910.4964092,,,
china,1988,720.3414958,,,
cote d'ivoire,1988,384.7565533,,,
cameroon,1988,429.2983148,,,
"congo, dem. rep.",1988,337.6520141,,,
"congo, rep.",1988,333.4526869,,,
colombia,1988,728.401816,,,
comoros,1988,,,,
cabo verde,1988,,,,
costa rica,1988,488.4919564,,,
caribbean small states,1988,,,,
cuba,1988,1605.119918,,,
curacao,1988,8775.992603,,,
cayman islands,1988,,,,
cyprus,1988,1642.222264,,,
czech republic,1988,4876.221068,,,
germany,1988,4629.177666,,,
djibouti,1988,,,,
dominica,1988,,,,
denmark,1988,3642.119646,,,
dominican republic,1988,555.3983782,,,
algeria,1988,854.8527915,,,
east asia & pacific (excluding high income),1988,661.6233802,,,
early-demographic dividend,1988,573.6782335,,,
east asia & pacific,1988,937.4109948,,,
europe & central asia (excluding high income),1988,,,,
europe & central asia,1988,,,,
ecuador,1988,614.683352,,,
"egypt, arab rep.",1988,538.4665544,,,
euro area,1988,3426.197057,,,
eritrea,1988,,,,
spain,1988,2065.722445,,,
estonia,1988,,,,
ethiopia,1988,477.4642866,,,
european union,1988,3507.028317,,,
fragile and conflict affected situations,1988,518.3659751,,,
finland,1988,5590.436514,,,
fiji,1988,,,,
france,1988,3665.568919,,,
faroe islands,1988,,,,
"micronesia, fed. sts.",1988,,,,
gabon,1988,1517.453579,,,
united kingdom,1988,3643.006881,,,
georgia,1988,,,,
ghana,1988,344.1280237,,,
gibraltar,1988,1975.376385,,,
guinea,1988,,,,
"gambia, the",1988,,,,
guinea-bissau,1988,,,,
equatorial guinea,1988,,,,
greece,1988,1902.914451,,,
grenada,1988,,,0,
greenland,1988,,,,
guatemala,1988,449.8924804,,,
guam,1988,,,,
guyana,1988,,,,
high income,1988,4601.785075,,,
"hong kong sar, china",1988,1650.138425,,,
honduras,1988,484.9543214,,,
heavily indebted poor countries (hipc),1988,,,,
croatia,1988,,,,
haiti,1988,231.1276204,,,
hungary,1988,2863.97624,,,
ibrd only,1988,717.1150134,,,
ida & ibrd total,1988,665.10738,,,
ida total,1988,403.7774249,,,
ida blend,1988,536.3664352,,,
indonesia,1988,440.246841,,,
ida only,1988,319.1293814,,,
isle of man,1988,,,,
india,1988,334.2568279,,,
not classified,1988,,,,
ireland,1988,2592.838648,,,
"iran, islamic rep.",1988,1063.707822,,,
iraq,1988,1146.889941,,,
iceland,1988,7882.473773,,,
israel,1988,2451.745835,,,
italy,1988,2462.796778,,,
jamaica,1988,767.7590837,,,
jordan,1988,906.1079213,,,
japan,1988,3242.678688,,,
kazakhstan,1988,,,,
kenya,1988,456.4914644,,,
kyrgyz republic,1988,,,,
cambodia,1988,,,,
kiribati,1988,,,,
st. kitts and nevis,1988,,,,
"korea, rep.",1988,1761.014799,,,
kuwait,1988,9914.411676,,,
latin america & caribbean (excluding high income),1988,1051.506425,,,
lao pdr,1988,,,,
lebanon,1988,737.3205323,,,
liberia,1988,,,,
libya,1988,2507.26605,,,
st. lucia,1988,,,,
latin america & caribbean,1988,1055.740473,,,
least developed countries: un classification,1988,301.2037847,,,
low income,1988,,,,
liechtenstein,1988,,,,
sri lanka,1988,322.1585562,,,
lower middle income,1988,372.8310351,,,
low & middle income,1988,642.2609849,,,
lesotho,1988,,,,
late-demographic dividend,1988,877.5925446,,,
lithuania,1988,,,,
luxembourg,1988,8158.433525,,,
latvia,1988,,,,
"macao sar, china",1988,,,,
st. martin (french part),1988,,,,
morocco,1988,287.0455202,,,
monaco,1988,,,,
moldova,1988,,,,
madagascar,1988,,,,
maldives,1988,,,0,
middle east & north africa,1988,1215.993571,,,
mexico,1988,1392.417563,,,
marshall islands,1988,,,,
middle income,1988,647.2178949,,,
north macedonia,1988,,,,
mali,1988,,,,
malta,1988,1871.376952,,,
myanmar,1988,265.796307,,,
middle east & north africa (excluding high income),1988,771.7565656,,,
montenegro,1988,,,,
mongolia,1988,1810.528708,,,
northern mariana islands,1988,,,,
mozambique,1988,483.0025189,,,
mauritania,1988,,,,
mauritius,1988,513.9675568,,,
malawi,1988,,,,
malaysia,1988,1088.029495,,,
north america,1988,7853.258884,,,
namibia,1988,,,,
new caledonia,1988,,,,
niger,1988,,,,
nigeria,1988,679.2690626,,,
nicaragua,1988,461.6625617,,,
netherlands,1988,4321.10053,,,
norway,1988,4817.155673,,,
nepal,1988,304.6838276,,,
nauru,1988,,,,
new zealand,1988,3609.680514,,,
oecd members,1988,4243.219223,,,
oman,1988,1315.760588,,,
other small states,1988,,,,
pakistan,1988,383.0277647,,,
panama,1988,666.2626222,,,
peru,1988,514.408211,,,
philippines,1988,446.8021524,,,
palau,1988,,,,
papua new guinea,1988,,,,
poland,1988,3496.985114,,,
pre-demographic dividend,1988,544.2991975,,,
puerto rico,1988,,,,
"korea, dem. people’s rep.",1988,1762.390894,,,
portugal,1988,1299.585114,,,
paraguay,1988,725.5960683,,,
west bank and gaza,1988,,,,
pacific island small states,1988,,,,
post-demographic dividend,1988,4740.72506,,,
french polynesia,1988,,,,
qatar,1988,14582.30182,,,
romania,1988,3033.684681,,,
russian federation,1988,,,,
rwanda,1988,,,,
south asia,1988,318.3187253,,,
saudi arabia,1988,4172.207291,,,
sudan,1988,411.6430061,,,
senegal,1988,233.5448162,,,
singapore,1988,2981.128615,,,
solomon islands,1988,,,,
sierra leone,1988,,,,
el salvador,1988,462.3217074,,,
san marino,1988,,,,
somalia,1988,,,,
serbia,1988,,,,
sub-saharan africa (excluding high income),1988,726.7979011,,,
south sudan,1988,,,,
sub-saharan africa,1988,726.7979011,,,
small states,1988,,,,
sao tome and principe,1988,,,,
suriname,1988,,,,
slovak republic,1988,4106.150426,,,
slovenia,1988,,,,
sweden,1988,5854.499662,,,
eswatini,1988,,,,
sint maarten (dutch part),1988,,,,
seychelles,1988,,,,
syrian arab republic,1988,790.6068664,,0,
turks and caicos islands,1988,,,,
chad,1988,,,,
east asia & pacific (ida & ibrd countries),1988,647.3000421,,,
europe & central asia (ida & ibrd countries),1988,,,,
togo,1988,325.0855074,,0,
thailand,1988,596.2665636,,0,
tajikistan,1988,,,,
turkmenistan,1988,,,,
latin america & the caribbean (ida & ibrd countries),1988,1038.965453,,,
timor-leste,1988,,,,
middle east & north africa (ida & ibrd countries),1988,771.7565656,,,
tonga,1988,,,,
south asia (ida & ibrd),1988,318.3187253,,,
sub-saharan africa (ida & ibrd countries),1988,726.7979011,,,
trinidad and tobago,1988,4561.278343,,,
tunisia,1988,555.902594,,,
turkey,1988,908.4095838,,,
tuvalu,1988,,,,
tanzania,1988,393.354422,,,
uganda,1988,,,,
ukraine,1988,,,,
upper middle income,1988,905.6728515,,,
uruguay,1988,765.44764,,,
united states,1988,7849.75397,,,
uzbekistan,1988,,,,
st. vincent and the grenadines,1988,,,,
"venezuela, rb",1988,1965.164911,,,
british virgin islands,1988,,,,
virgin islands (u.s.),1988,,,,
vietnam,1988,274.3596983,,,
vanuatu,1988,,,,
world,1988,1468.951969,,,
samoa,1988,,,,
kosovo,1988,,,,
"yemen, rep.",1988,221.4978629,,,
south africa,1988,2763.773098,,,
zambia,1988,724.0461815,,,
zimbabwe,1988,879.0093536,,,
aruba,1989,,,,
afghanistan,1989,,,,
angola,1989,480.0942,,,
albania,1989,896.4377624,,,
andorra,1989,,,,
arab world,1989,1178.467566,,,
united arab emirates,1989,11871.72021,,,
argentina,1989,1446.657868,,,
armenia,1989,,,,
american samoa,1989,,,,
antigua and barbuda,1989,,,,
australia,1989,5001.103102,,,
austria,1989,3138.983488,,,
azerbaijan,1989,,,,
burundi,1989,,,0,
belgium,1989,4798.926451,,,
benin,1989,337.9924465,,,
burkina faso,1989,,,,
bangladesh,1989,120.1679555,,,
bulgaria,1989,3426.942205,,,
bahrain,1989,10248.43739,,,
"bahamas, the",1989,,,,
bosnia and herzegovina,1989,,,,
belarus,1989,,,,
belize,1989,,,,
bermuda,1989,,,,
bolivia,1989,365.5275948,,,
brazil,1989,993.9052734,,,
barbados,1989,,,,
brunei darussalam,1989,6164.214302,,,
bhutan,1989,,,,
botswana,1989,947.4625628,,0,
central african republic,1989,,,,
canada,1989,7963.297905,,,
central europe and the baltics,1989,3371.984832,,,
switzerland,1989,3339.083472,,,
channel islands,1989,,,,
chile,1989,1004.110192,,,
china,1989,724.1161051,,,
cote d'ivoire,1989,384.1020291,,,
cameroon,1989,431.4832222,,,
"congo, dem. rep.",1989,335.6960373,,,
"congo, rep.",1989,336.870074,,,
colombia,1989,719.944565,,,
comoros,1989,,,,
cabo verde,1989,,,,
costa rica,1989,529.8443936,,,
caribbean small states,1989,,,,
cuba,1989,1743.499697,,,
curacao,1989,9465.437568,,,
cayman islands,1989,,,,
cyprus,1989,1675.875145,,,
czech republic,1989,4739.002775,,,
germany,1989,4514.704706,,,
djibouti,1989,,,,
dominica,1989,,,,
denmark,1989,3414.211605,,,
dominican republic,1989,537.2029389,,,
algeria,1989,825.2599459,,,
east asia & pacific (excluding high income),1989,668.3647212,,,
early-demographic dividend,1989,580.6923791,,,
east asia & pacific,1989,955.2341894,,,
europe & central asia (excluding high income),1989,,,,
europe & central asia,1989,,,,
ecuador,1989,573.7989986,,,
"egypt, arab rep.",1989,559.6039766,,,
euro area,1989,3488.785094,,,
eritrea,1989,,,,
spain,1989,2269.013328,,,
estonia,1989,,,,
ethiopia,1989,477.921834,,,
european union,1989,3512.589632,,,
fragile and conflict affected situations,1989,526.1533715,,,
finland,1989,5753.639283,,,
fiji,1989,,,,
france,1989,3795.899383,,,
faroe islands,1989,,,,
"micronesia, fed. sts.",1989,,,,
gabon,1989,1374.545718,,,
united kingdom,1989,3626.297861,,,
georgia,1989,,,,
ghana,1989,360.5409446,,,
gibraltar,1989,1899.510056,,,
guinea,1989,,,,
"gambia, the",1989,,,,
guinea-bissau,1989,,,,
equatorial guinea,1989,,,,
greece,1989,2093.114345,,,
grenada,1989,,,0,
greenland,1989,,,,
guatemala,1989,456.3534581,,,
guam,1989,,,,
guyana,1989,,,,
high income,1989,4652.015524,,,
"hong kong sar, china",1989,1661.16387,,,
honduras,1989,490.5726253,,,
heavily indebted poor countries (hipc),1989,,,,
croatia,1989,,,,
haiti,1989,230.7940772,,,
hungary,1989,2874.895807,,,
ibrd only,1989,720.5619252,,,
ida & ibrd total,1989,667.8372848,,,
ida total,1989,405.3170511,,,
ida blend,1989,540.899202,,,
indonesia,1989,456.7716529,,,
ida only,1989,318.5627803,,,
isle of man,1989,,,,
india,1989,342.7009948,,,
not classified,1989,,,,
ireland,1989,2655.244974,,,
"iran, islamic rep.",1989,1208.493021,,,
iraq,1989,1235.173653,,,
iceland,1989,7983.037508,,,
israel,1989,2488.923417,,,
italy,1989,2566.108925,,,
jamaica,1989,957.2720873,,,
jordan,1989,874.287286,,,
japan,1989,3350.726291,,,
kazakhstan,1989,,,,
kenya,1989,457.2227572,,,
kyrgyz republic,1989,,,,
cambodia,1989,,,,
kiribati,1989,,,,
st. kitts and nevis,1989,,,,
"korea, rep.",1989,1857.298321,,,
kuwait,1989,11260.14525,,,
latin america & caribbean (excluding high income),1989,1055.265304,,,
lao pdr,1989,,,,
lebanon,1989,719.3009932,,,
liberia,1989,,,,
libya,1989,2653.972486,,,
st. lucia,1989,,,,
latin america & caribbean,1989,1061.587977,,,
least developed countries: un classification,1989,300.0694075,,,
low income,1989,,,,
liechtenstein,1989,,,,
sri lanka,1989,318.8540806,,,
lower middle income,1989,380.5358359,,,
low & middle income,1989,647.8280462,,,
lesotho,1989,,,,
late-demographic dividend,1989,879.2171163,,,
lithuania,1989,,,,
luxembourg,1989,8699.936356,,,
latvia,1989,,,,
"macao sar, china",1989,,,,
st. martin (french part),1989,,,,
morocco,1989,305.9279668,,,
monaco,1989,,,,
moldova,1989,,,,
madagascar,1989,,,,
maldives,1989,,,0,
middle east & north africa,1989,1272.37195,,,
mexico,1989,1426.671241,,,
marshall islands,1989,,,,
middle income,1989,653.5804092,,,
north macedonia,1989,,,,
mali,1989,,,,
malta,1989,1983.2688,,,
myanmar,1989,268.5490314,,,
middle east & north africa (excluding high income),1989,819.7953578,,,
montenegro,1989,,,,
mongolia,1989,1675.211384,,,
northern mariana islands,1989,,,,
mozambique,1989,476.1135179,,,
mauritania,1989,,,,
mauritius,1989,561.1618439,,,
malawi,1989,,,,
malaysia,1989,1159.818314,,,
north america,1989,7897.5529,,,
namibia,1989,,,,
new caledonia,1989,,,,
niger,1989,,,,
nigeria,1989,684.8637379,,,
nicaragua,1989,484.3640322,,,
netherlands,1989,4323.85818,,,
norway,1989,4984.198116,,,
nepal,1989,301.6273003,,0,
nauru,1989,,,,
new zealand,1989,3846.626152,,,
oecd members,1989,4284.945637,,,
oman,1989,1472.540657,,,
other small states,1989,,,,
pakistan,1989,392.5053984,,,
panama,1989,614.2312267,,,
peru,1989,464.6510744,,,
philippines,1989,457.7814034,,,
palau,1989,,,,
papua new guinea,1989,,,,
poland,1989,3259.223305,,,
pre-demographic dividend,1989,548.294824,,,
puerto rico,1989,,,,
"korea, dem. people’s rep.",1989,1730.639692,,,
portugal,1989,1575.754523,,,
paraguay,1989,769.3013253,,,
west bank and gaza,1989,,,,
pacific island small states,1989,,,,
post-demographic dividend,1989,4801.696016,,,
french polynesia,1989,,,,
qatar,1989,14355.90764,,,
romania,1989,2987.059062,,,
russian federation,1989,,,,
rwanda,1989,,,,
south asia,1989,325.9429357,,,
saudi arabia,1989,4013.82356,,,
sudan,1989,400.7551024,,,
senegal,1989,225.2134143,,,
singapore,1989,2896.500086,,,
solomon islands,1989,,,,
sierra leone,1989,,,,
el salvador,1989,467.8073808,,,
san marino,1989,,,,
somalia,1989,,,,
serbia,1989,,,,
sub-saharan africa (excluding high income),1989,708.1803405,,,
south sudan,1989,,,,
sub-saharan africa,1989,708.1803405,,,
small states,1989,,,,
sao tome and principe,1989,,,,
suriname,1989,,,,
slovak republic,1989,4083.662216,,,
slovenia,1989,,,,
sweden,1989,5594.552973,,,
eswatini,1989,,,,
sint maarten (dutch part),1989,,,,
seychelles,1989,,,,
syrian arab republic,1989,769.8383437,,0,
turks and caicos islands,1989,,,,
chad,1989,,,,
east asia & pacific (ida & ibrd countries),1989,654.572567,,,
europe & central asia (ida & ibrd countries),1989,,,,
togo,1989,325.912237,,0,
thailand,1989,656.5349646,,0,
tajikistan,1989,,,,
turkmenistan,1989,,,,
latin america & the caribbean (ida & ibrd countries),1989,1041.458271,,,
timor-leste,1989,,,,
middle east & north africa (ida & ibrd countries),1989,819.7953578,,,
tonga,1989,,,,
south asia (ida & ibrd),1989,325.9429357,,,
sub-saharan africa (ida & ibrd countries),1989,708.1803405,,,
trinidad and tobago,1989,4397.130907,,,
tunisia,1989,540.9620841,,,
turkey,1989,926.5924621,,,
tuvalu,1989,,,,
tanzania,1989,389.7868312,,,
uganda,1989,,,,
ukraine,1989,,,,
upper middle income,1989,912.257388,,,
uruguay,1989,780.4176333,,,
united states,1989,7890.287202,,,
uzbekistan,1989,,,,
st. vincent and the grenadines,1989,,,,
"venezuela, rb",1989,1969.180085,,,
british virgin islands,1989,,,,
virgin islands (u.s.),1989,,,,
vietnam,1989,262.4145694,,,
vanuatu,1989,,,,
world,1989,1475.368545,,,
samoa,1989,,,,
kosovo,1989,,,,
"yemen, rep.",1989,217.8800103,,,
south africa,1989,2585.623705,,,
zambia,1989,702.5043461,,,
zimbabwe,1989,871.7557632,,,
aruba,1990,,,0,57686
afghanistan,1990,,,0,66013
angola,1990,496.5364903,,0,273954
albania,1990,813.2556955,,0,21283
andorra,1990,,,0,38904
arab world,1990,1080.312402,,0,33517
united arab emirates,1990,11170.26337,,0,12029
argentina,1990,1412.179829,,0,1649919
armenia,1990,2178.54366,,0,658789
american samoa,1990,,,0,14444
antigua and barbuda,1990,1580.532114,,0,3955213
australia,1990,5061.508459,,0.585094712,793239
austria,1990,3240.111359,,0.130369377,360600
azerbaijan,1990,3165.494902,,0,26855
burundi,1990,,,0,173212
belgium,1990,4809.867268,,0.00100674,881617
benin,1990,333.6981691,,0,24024
burkina faso,1990,,,0,1248977
bangladesh,1990,123.4619803,,0,891537
bulgaria,1990,3237.35265,,0,30404
bahrain,1990,10555.27079,,0,76212
"bahamas, the",1990,2518.576954,,0,15683
bosnia and herzegovina,1990,1572.245337,,0,23807
belarus,1990,4465.375012,,0,73758
belize,1990,566.3389353,,0,56000
bermuda,1990,,,0,27510
bolivia,1990,380.2842076,,0,798517
brazil,1990,940.9658676,,0,8035
barbados,1990,1233.974308,,0,73200
brunei darussalam,1990,6674.711369,,0,21510
bhutan,1990,105.453139,,0,349657
botswana,1990,946.7941086,,0,333110
central african republic,1990,,,0,8931
canada,1990,7630.092306,,0.360999701,38375
central europe and the baltics,1990,3089.524941,,0,265344
switzerland,1990,3627.692811,,0.595714223,4333318
channel islands,1990,,,,9387
chile,1990,1055.348615,,0,67234
china,1990,766.9953294,,0,74342
cote d'ivoire,1990,364.3742405,,0,61660
cameroon,1990,422.8194221,,0,107501
"congo, dem. rep.",1990,340.8739501,,0,376361
"congo, rep.",1990,334.0589128,,0,104277
colombia,1990,731.7438296,,0,14079
comoros,1990,43.36015552,,0,754194
cabo verde,1990,85.94798639,,0,129597
costa rica,1990,537.7365053,,0,417628
caribbean small states,1990,1873.094759,,0,1816426
cuba,1990,1642.750152,,0,475438
curacao,1990,10030.15131,,,34555
cayman islands,1990,,,0,
cyprus,1990,1780.700873,,0,43805
czech republic,1990,4796.941458,,0,110394
germany,1990,4421.364531,,0.125892223,235189
djibouti,1990,220.2863966,,0,122221
dominica,1990,300.6517275,,0,2519
denmark,1990,3376.783307,,0.097277268,291151
dominican republic,1990,562.8139591,,0,78663
algeria,1990,861.2607564,,0,173708
east asia & pacific (excluding high income),1990,710.6845616,,0,47360
early-demographic dividend,1990,617.5556102,,0.000245373,2740
east asia & pacific,1990,1014.112422,,0.00725637,11848
europe & central asia (excluding high income),1990,4059.368317,,0,381997
europe & central asia,1990,3758.83207,,0.048049244,72085
ecuador,1990,618.7145768,,0,1155390
"egypt, arab rep.",1990,574.529271,,0,4285
euro area,1990,3511.714877,,0.072459123,13283
eritrea,1990,,,0,63255
spain,1990,2317.476774,,0.012873564,5897267
estonia,1990,6232.731998,,0,25830
ethiopia,1990,478.9028285,,0,127980
european union,1990,3443.302514,,0.069155331,118123
fragile and conflict affected situations,1990,510.5784764,,0,338300
finland,1990,5691.571186,,0.40108767,5936181
fiji,1990,392.2821735,,0,164851
france,1990,3846.626512,,0.052777862,8709
faroe islands,1990,,,0,618139
"micronesia, fed. sts.",1990,,,0,9416
gabon,1990,1244.254798,,0,4263
united kingdom,1990,3597.051621,,0.087355319,69755
georgia,1990,2585.263224,,0,264257
ghana,1990,358.1489063,,0,403621
gibraltar,1990,1974.028202,,0,15368
guinea,1990,,,0,4095
"gambia, the",1990,64.66299042,,0,19084
guinea-bissau,1990,76.52783819,,0,270423
equatorial guinea,1990,,,0,2218473
greece,1990,2102.677685,,0,347510
grenada,1990,440.9213753,,0,9584
greenland,1990,,,0,7493204
guatemala,1990,476.1671031,,0,465612
guam,1990,,,0,4291601
guyana,1990,514.033706,,0,83638
high income,1990,4575.05941,,0.260373646,227961
"hong kong sar, china",1990,1510.633886,,0,34769
honduras,1990,480.2077693,,0,1632704
heavily indebted poor countries (hipc),1990,,,0,1428219
croatia,1990,1981.189224,,0,20475
haiti,1990,221.7235583,,0,1075626
hungary,1990,2774.492028,,0,1146349
ibrd only,1990,1066.846607,,0,3619200
ida & ibrd total,1990,970.5242788,,0,297292
ida total,1990,486.5147238,,0,2162
ida blend,1990,699.696632,,0,34103
indonesia,1990,543.7750569,,0,43017
ida only,1990,341.6474506,,0,..
isle of man,1990,,,,1074391
india,1990,350.0757339,,0,623083
not classified,1990,,,,22866
ireland,1990,2820.410168,,0,646007
"iran, islamic rep.",1990,1229.973798,,0,523693
iraq,1990,1150.65394,,0,8240
iceland,1990,8907.791984,,0,94964
israel,1990,2460.465451,,0.110773866,457075
italy,1990,2583.888077,,0.017544562,10906
jamaica,1990,1150.715358,,0,349258
jordan,1990,918.1329205,,0,113795
japan,1990,3551.161773,,0.020293683,205047
kazakhstan,1990,4492.853071,,0,23917
kenya,1990,451.5114051,,0,1127724
kyrgyz republic,1990,1704.814629,,0,695920
cambodia,1990,,,0,8689
kiribati,1990,98.24109116,,0,160736
st. kitts and nevis,1990,536.5471075,,0,15077
"korea, rep.",1990,2167.339608,,0.023265092,1158
kuwait,1990,4347.352034,,0,111650
latin america & caribbean (excluding high income),1990,1042.843624,,0,3613
lao pdr,1990,,,0,695674
lebanon,1990,697.0618371,,0,3685
liberia,1990,,,0,544162
libya,1990,2517.101938,,0,20359
st. lucia,1990,405.1564991,,0,6718
latin america & caribbean,1990,1053.235995,,0,..
least developed countries: un classification,1990,298.3077148,,0,54895
low income,1990,,,0,122332
liechtenstein,1990,,,0,133545
sri lanka,1990,318.3801381,,0,120641
lower middle income,1990,548.1126659,,0,2815
low & middle income,1990,957.2787116,,0,429974
lesotho,1990,,,0,1182263
late-demographic dividend,1990,1355.094226,,0,37673
lithuania,1990,4344.17273,,0,518047
luxembourg,1990,8874.105015,,0,41421
latvia,1990,2949.284137,,0,115464
"macao sar, china",1990,,,0,456621
st. martin (french part),1990,,,,95142
morocco,1990,307.1040883,,0,26593
monaco,1990,,,0,192587
moldova,1990,2676.53869,,0,304000
madagascar,1990,,,0,6208204
maldives,1990,228.0758028,,0,2801
middle east & north africa,1990,1195.529534,,0.001947688,62744
mexico,1990,1473.388663,,0,32720
marshall islands,1990,,,0,195884
middle income,1990,979.2164111,,0,65025
north macedonia,1990,1240.934903,,0,154071
mali,1990,,,0,1127771
malta,1990,1961.642714,,0,435782
myanmar,1990,258.3611851,,0,321909
middle east & north africa (excluding high income),1990,828.7733447,,0,309753
montenegro,1990,,,,135825
mongolia,1990,1560.47973,,0,11524948
northern mariana islands,1990,,,0,159869
mozambique,1990,455.9865136,,0,3357
mauritania,1990,,,0,3310
mauritius,1990,629.3820689,,0,5582
malawi,1990,,,0,4998445
malaysia,1990,1210.967229,,0,270410
